id,user_id,chapter_id,book_id,brick,zh_source_url,update_time,create_time,web_title
0045ba93-dfe0-40fd-8998-49943d9c384a,e8237015-3781-4848-bc45-b53b0c1d553b,8d8350a4-5708-43fd-be53-148b836ad6aa,b5be63a8-250a-460a-abce-7c8e112378a0,-1,https://m.qidian.com/book/3393401/80620072,NULL,"2018-12-14 21:49:40.124590",NULL
00999234-0d10-468c-8d36-c77ccd0a2a86,c6b03511-0e75-4fa8-ab3e-92e69b32a39b,8d5467ec-17e5-420a-94ac-3ddd544f28eb,f1b4f1dc-09c8-4daf-bfc8-4cd1bd04ce71,-1,https://m.qidian.com/book/1590068/33371334,NULL,"2019-01-09 11:36:00.153982","Calling for Long live _ Xiafei cheeks _ Xiafei cheeks _ Read page _ starting from _ Chinese Web"
009cf4a7-ee2b-4fc8-a875-39e730a4152b,0fb6a705-da64-434a-a6a8-79c182d08a90,b385af01-a7d3-465d-85f1-21563aaa3a79,b5be63a8-250a-460a-abce-7c8e112378a0,-1,https://m.qidian.com/book/3393401/80665895,NULL,"2019-01-09 17:47:43.676404","Top quality all-round student. Flowers are rare. Flowers are rare. Read the pages. Start"
00d1bdef-00f3-45c2-a424-49c9e9db12ea,d6617fe3-ac62-4fae-81bf-8bd2c87c416d,78a14e3f-b722-479e-9b5d-7c927bbb986b,3bb7d8b2-f666-4fea-b169-4765c23c1be6,-1,https://www.xxsy.net/chapter/8599644.html?bookid=955765,NULL,"2018-12-14 01:19:32.078725",NULL
00d3574a-a1b0-40c5-b894-ddf4c1c7d2ec,a011712d-2024-41bb-93c2-02e3935fc4d9,deee8770-034e-4544-92e8-78623024ccb5,1704768b-4f89-45b1-a521-983faa1fb90b,-1,https://www.xxsy.net/chapter/8581409.html?bookid=957275,NULL,"2018-12-13 22:22:31.236150",NULL
00dd15fd-8397-41be-bdee-2cd3cae6f6c1,24dc4f9d-1b6f-4c68-99d4-971f8af22d3d,70581cf9-263a-4842-bf48-06723e04ed6c,b5be63a8-250a-460a-abce-7c8e112378a0,-1,https://m.qidian.com/book/3393401/78077870,NULL,"2019-01-03 01:58:55.479685","TOTAL TOTAL STUDENTS _ FLOWERS AND FLOWERS _ FLOWERS READING PAGE _ ORDINARY CHINESE NETWORK"
0134df90-c261-4bd9-9ca6-e3e22d0a3760,369771d7-2c25-463a-9fb5-47a30dc15199,b39e0650-3eec-49f9-86de-927719ab4056,edb64b98-adb3-4220-bb87-dbe5407dfc64,-1,https://www.xxsy.net/chapter/8660019.html?bookid=962793,NULL,"2019-01-08 12:41:16.190105","[Previous Chapter] [Table of Contents] [Next Chapter]"
01730377-186c-44bb-b33b-543cbf996add,45b9bdd8-9852-4037-ac6c-a8542ad7290c,7fd3ee24-6555-49fe-80a9-0da226f0bff5,4a1e9d63-ae19-4b5b-9367-1e0998595a0b,-1,https://read.qidian.com/chapter/rgbp9UaUKX81/Y1xjiRhXrkEex0RJOkJclQ2,NULL,"2018-12-15 20:35:48.470562",NULL
01a953b5-7c94-40f1-a318-6e939c61c172,d23e5c08-322b-4cf3-9bfc-b3ec513da000,eee6c3b7-937c-44f4-9696-eb98828da051,722f8476-1b89-400f-b25d-7a11b4347fc8,-1,https://www.xxsy.net/chapter/7122967.html?bookid=784868,NULL,"2019-01-07 13:33:49.626946","[Previous Chapter] [Table of Contents] [Next Chapter]"
01c3d47c-8762-4baa-974f-1456b75ada46,3b507066-ac9a-4976-b549-75a4fd70a2bb,576671af-9616-46e1-9686-168a05aa0a50,8597a88c-40ce-45d3-9b5b-9c72a6ee685a,-1,https://www.xxsy.net/chapter/6757401.html?bookid=697689,NULL,"2019-01-03 11:30:29.409513","The Wang Family's Little Farmer Girl, "007", "Crossed through the Field", "Read the full text," Read the Catalog "," Later Love "," Old Words "," WangFamily Little Farmer Girl, "Crossed through the Fi"
023d9bcc-526b-4269-b05a-d989137c00dc,a111b69c-2545-4873-8b7d-ae943e1fc5db,3ee941b2-cf7f-4c8c-a985-9d6a0d0437cc,87d141ef-1848-4fce-b9de-3eb04cb6701e,-1,https://m.qidian.com/book/2939492/48387347,NULL,"2018-12-20 22:02:11.152847",NULL
0286841a-3f85-454f-95c3-f704b0ab8dbf,e9a093e3-6ab5-4e82-973a-4396338113ff,9448b762-332c-4170-98d2-54f9b576924e,edb64b98-adb3-4220-bb87-dbe5407dfc64,-1,https://www.xxsy.net/chapter/8660018.html?bookid=962793,NULL,"2018-12-28 08:23:27.344085",NULL
02ada953-8b4d-489d-92be-66b5ad110197,2848e2a7-c243-4a61-84f2-bf7200a5e19b,1976c7f5-6095-4580-951f-c6de21f49af8,e8bf0633-a228-467f-89bd-4d45ee578ea1,-1,https://m.qidian.com/book/1003728666/316142702,NULL,"2018-12-29 12:44:57.592123","Crazy Upgrade System - Crazy Fantastic Author - Crazy Fantasy Reading Page"
02afe7f2-a985-4332-ac92-629957536f18,9aab74f4-4fce-47a5-91af-cb159027c657,7106710b-1052-4653-8bcd-267126fa4c40,d15a3111-1062-4f7a-9de9-fdd6264e3b18,-1,https://m.qidian.com/book/2080820/34071625,NULL,"2018-12-21 15:49:23.132272",NULL
02e1f2f9-8819-4600-a46b-88ff207289d7,d6617fe3-ac62-4fae-81bf-8bd2c87c416d,db1b0e85-b554-403e-b6c9-14b54d2d227d,3bb7d8b2-f666-4fea-b169-4765c23c1be6,-1,https://www.xxsy.net/chapter/8589884.html?bookid=955765,NULL,"2018-12-14 00:52:24.117028",NULL
031d92cb-a7b7-4d02-be81-4af42f649a90,e9a093e3-6ab5-4e82-973a-4396338113ff,2f78bac2-7c18-4007-9b18-b14ddfb58574,d2c6bfb9-ae08-4b32-b239-5a0c5a871a1b,-1,https://www.zhuishushenqi.com/book/55f2e3e8d20955951bac102c/1.html,NULL,"2018-12-06 11:13:47.930261",NULL
032c2bfa-6251-4f37-b8df-c4177232ff0b,0fb6a705-da64-434a-a6a8-79c182d08a90,c687a474-c255-4147-9759-ef92bb0d1c75,b5be63a8-250a-460a-abce-7c8e112378a0,-1,https://m.qidian.com/book/3393401/80258332,NULL,"2019-01-07 05:37:48.915836","Top quality all-round student. Flowers are rare. Flowers are rare. Read the pages. Start"
03349da7-434b-4ec7-9d8a-d19ddf841017,a89dc679-7439-4559-b583-6fa3dd4d74e6,e64a3649-02fe-4abf-9382-fe00a993a794,7ea42674-d40b-4b2a-844b-f6dae1e489fd,-1,https://www.xxsy.net/chapter/6781514.html?bookid=705558,NULL,"2018-12-11 01:23:55.221145",NULL
